Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,2.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,0.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,1,Percent,2015,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,3,Percent,2015,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,7.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,4.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,5.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,0,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,0.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,0,Percent,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,5.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,10.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,7.9,Percent,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,8.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,2.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,2,Percent,2015,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,10.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,17.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,3.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,1.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,1.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,0.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,0.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,5.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,5.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,14.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,15.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,19.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,14,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,2.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,1,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,5.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,13,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,6.9,Percent,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$1.9 (PPP) per day,6.1,Percent,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,29.7,Percent,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,22.5,Percent,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,37.3,Percent,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,100,Percent,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,59.6,Percent,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,51.2,Percent,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,42.6,Percent,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,37.1,Percent,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,26.8,Percent,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,15.1,Percent,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,4,Percent,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,25.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Aceh,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,22.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,15.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,13.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,22.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,33.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,29.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,35.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,2.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,6.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,2.3,Percent,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,29.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,40.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,32.2,Percent,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,36.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,19.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,17.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,40.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,54.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,25.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,17.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,17.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,5,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,4.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,28.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,32.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,41,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,41.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,44.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,45.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,25.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,19.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,24.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,31.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,30.5,Percent,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below international poverty line of US$3.1 (PPP) per day,28.9,Percent,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,10,Percent,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,7.3,Percent,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,12.8,Percent,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,52.5,Percent,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,2,Percent,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,21.9,Percent,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,15.3,Percent,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,12.2,Percent,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,8.5,Percent,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,4.1,Percent,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,0.7,Percent,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,14.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Aceh,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,8.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,5.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,6.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,7.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,12.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,16.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,12.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,4.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,5.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,3.2,Percent,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,8.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,13,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,13.9,Percent,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,11.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,4.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,4.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,15.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,19.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,6.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,5.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,4.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,5.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,5,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,7.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,12.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,8.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,10.6,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,16.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,10.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,16.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,5.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,22.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,23.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Papua,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,10.5,Percent,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below the national poverty line,9.5,Percent,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,51,Percent,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,41.3,Percent,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,61.1,Percent,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,100,Percent,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,99.2,Percent,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,60.6,Percent,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,8.1,Percent,2015,,SUSENAS,,All,All,All,Q4,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,72.2,Percent,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,66.4,Percent,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,61.5,Percent,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,51.6,Percent,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,33.2,Percent,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,11,Percent,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,69,Percent,2015,,SUSENAS,,All,All,All,All,All,Aceh,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,54.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,53,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,49.1,Percent,2015,,SUSENAS,,All,All,All,All,All,Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,52.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Jambi,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,57.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,64.8,Percent,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,64.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Lampung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,51.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,36.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,32.7,Percent,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,45.3,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,59.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,51.9,Percent,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,51.7,Percent,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,39.4,Percent,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,34.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Bali,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,62.5,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,69.9,Percent,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,18+ yrs,1,,,,,,,,,,,,
Percentage of adults living below twice the national poverty line,50.2,Percent,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,18+ yrs,1,,,,,,,,,,,,
