Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational Attainment of Household Head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Primary adjusted net attendance rate,99.7,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.7,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.7,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.7,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.7,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.7,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.8,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.8,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.8,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.8,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.8,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.8,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Primary adjusted net attendance rate,99.9,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of children living below twice the national poverty line,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,100,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Primary adjusted net attendance rate,100,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Health worker density and distribution: Nurses,100.1,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Selatan,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,100.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Bali,,All,3,,,,,,,,,,,,
"Adolescent birth rate per 1,000 women",101,2012,,IDHS,,Female,All,All,All,All,Sulawesi Barat,,15-19 yrs,3,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",103,2015,,WHO,,Female,All,All,All,All,All Indonesia,,0-14 yrs,3,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",104,2015,,WHO,,All,All,All,All,All,All Indonesia,,0-14 yrs,3,,,,,,,,,,,,
"Adolescent birth rate per 1,000 women",104,2012,,IDHS,,Female,All,All,All,All,Kalimantan Barat,,15-19 yrs,3,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",106,2015,,WHO,,Male,All,All,All,All,All Indonesia,,0-14 yrs,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,108.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),109,2012,,IDHS,,All,All,All,All,All,Papua Barat,,,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,109,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
Health worker density and distribution: Midwives,110,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,112.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,112.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Selatan,,All,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),115,2012,,IDHS,,All,All,All,All,All,Papua,,,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,115.2,2015,,Indonesia Health Profile,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
Number of adults living below international poverty line of US$1.9 (PPP) per day,116,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,18+ yrs,1,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",120,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
Health worker density and distribution: Nurses,121.7,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Riau,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,122.7,2015,,Indonesia Health Profile,,All,All,All,All,All,DI Yogyakarta,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,123.7,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua,,All,3,,,,,,,,,,,,
Health worker density and distribution: Midwives,124.3,2015,,Indonesia Health Profile,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,131.2,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Selatan,,All,3,,,,,,,,,,,,
Health worker density and distribution: Midwives,132.5,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",134,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",134,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
Health worker density and distribution: Nurses,138,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Barat,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,140.2,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tengah,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,142.3,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,143.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
Number of out-of-school children of primary school age,145,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Health worker density and distribution: Nurses,155.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,155.7,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,156.8,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,166.3,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua Barat,,All,3,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",167,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
Health worker density and distribution: Nurses,168.4,2015,,Indonesia Health Profile,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
Health worker density and distribution: Nurses,174.6,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,3,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",183,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
Health worker density and distribution: Nurses,187.1,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Timur,,All,3,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",196,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,210,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Health worker density and distribution: Nurses,211.1,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Utara,,All,3,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",230,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters, annual average for 2005-2015",252,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,256,2015,,SUSENAS,,All,All,All,All,All,Aceh,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,269,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Number of children living below international poverty line of US$1.9 (PPP) per day,284,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,< 18 yrs,1,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",300,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",305,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
Number of education facilities affected by disaster,306,2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,321,2015,,SUSENAS,,All,All,All,All,All,Maluku,,,4,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",328,2015,,WHO,,Female,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",347,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",353,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",357,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",359,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Bangka Belitung,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",359,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",372,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",395,2015,,WHO,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
Total population living below international poverty line of US$1.9 (PPP) per day,400,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,1,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",413,2015,,WHO,,Female,All,All,All,All,All Indonesia,,15+ yrs,3,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",420,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",428,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",431,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",451,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",459,2015,,WHO,,Male,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",463,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",466,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",506,2015,,WHO,,All,All,All,All,All,All Indonesia,,15+ yrs,3,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",513,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,555,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",576,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
"Tuberculosis incidence per 100,000 people",600,2015,,WHO,,Male,All,All,All,All,All Indonesia,,15+ yrs,3,,,,,,,,,,,,
Number of out-of-school children of primary school age,624,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",625,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
Number of adults living below international poverty line of US$1.9 (PPP) per day,647,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,18+ yrs,1,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",654,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,743,2015,,SUSENAS,,All,All,All,All,All,Bali,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,787,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
Number of children living below international poverty line of US$1.9 (PPP) per day,834,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,< 18 yrs,1,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",849,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",897,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,933,2015,,SUSENAS,,All,All,All,All,All,Jambi,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",938,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",986,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 045,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",1 046,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 056,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Number of children as victims of human trafficking,1 126,2015,,Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang Laporan,,All,All,All,All,All,All Indonesia,,<18 yrs,16,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",1 145,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 146,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 172,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",1 173,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 188,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",1 303,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 335,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 339,2015,,SUSENAS,,All,All,All,All,All,Lampung,,,4,,,,,,,,,,,,
Total population living below international poverty line of US$1.9 (PPP) per day,1 481,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 500,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",1 562,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 651,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",1 732,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",1 738,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,1 932,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,2 311,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,2 337,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",2 622,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",2 822,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
Number of out-of-school children of primary school age,2 960,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,3 110,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,3 158,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Barat,,,4,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",3 162,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",3 251,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua Barat,,,13,,,,,,,,,,,,
"Number of persons affected by disasters per 100,000 people, annual average for 2005-2015",3 321,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
Number of children living below international poverty line of US$1.9 (PPP) per day,3 343,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,< 18 yrs,1,,,,,,,,,,,,
Number of adults living below international poverty line of US$1.9 (PPP) per day,3 343,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,18+ yrs,1,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",3 524,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,3 636,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,,4,,,,,,,,,,,,
Number of children living below international poverty line of US$1.9 (PPP) per day,4 458,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,< 18 yrs,1,,,,,,,,,,,,
Number of adults living below international poverty line of US$1.9 (PPP) per day,4 567,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Number of children living below international poverty line of US$1.9 (PPP) per day,4 591,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,< 18 yrs,1,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,4 684,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,4 754,2015,,SUSENAS,,All,All,All,All,Graduated university (D1-D3/PT),All Indonesia,,,4,,,,,,,,,,,,
Number of adults living below international poverty line of US$1.9 (PPP) per day,4 983,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,18+ yrs,1,,,,,,,,,,,,
Number of beneficiaries of Program Keluarga Harapan (PKH) (households),4 998,2015,,TNP2K,,All,All,All,All,All,Kalimantan Utara,,All,1,,,,,,,,,,,,
Number of out-of-school children of primary school age,5 488,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,5 911,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,5 995,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tengah,,,4,,,,,,,,,,,,
Number of adults as victims of human trafficking,6 067,2015,,Pencegahan dan Penanganan Tindak Pidana Perdagangan Orang Laporan,,All,All,All,All,All,All Indonesia,,18+ yrs,16,,,,,,,,,,,,
Number of beneficiaries of Program Keluarga Harapan (PKH) (households),6 259,2015,,TNP2K,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,1,,,,,,,,,,,,
Number of out-of-school children of primary school age,6 390,2015,,SUSENAS,,All,All,All,All,All,Riau,,,4,,,,,,,,,,,,
Total population living below international poverty line of US$1.9 (PPP) per day,6 685,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,6 695,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,,4,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",6 697,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
Number of adults living below international poverty line of US$1.9 (PPP) per day,6 941,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,18+ yrs,1,,,,,,,,,,,,
Number of out-of-school children of primary school age,7 209,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Number of children living below international poverty line of US$1.9 (PPP) per day,7 571,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,< 18 yrs,1,,,,,,,,,,,,
Number of beneficiaries of Program Keluarga Harapan (PKH) (households),7 796,2015,,TNP2K,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,8 917,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,,4,,,,,,,,,,,,
Total population living below international poverty line of US$1.9 (PPP) per day,9 158,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Total population living below international poverty line of US$1.9 (PPP) per day,9 440,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,All,1,,,,,,,,,,,,
Number of out-of-school children of primary school age,9 733,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Timur,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,9 884,2015,,SUSENAS,,All,All,All,All,All,Papua Barat,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,10 300,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,,4,,,,,,,,,,,,
"Number of persons affected by disasters, annual average for 2005-2015",10 725,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,10 946,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,4,,,,,,,,,,,,
Number of beneficiaries of Program Keluarga Harapan (PKH) (households),11 232,2015,,TNP2K,,All,All,All,All,All,Papua,,All,1,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,11 238,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Bangka Belitung,,,4,,,,,,,,,,,,
Number of out-of-school children of junior secondary age,11 249,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,4,,,,,,,,,,,,
Number of out-of-school children of primary school age,11 663,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,,4,,,,,,,,,,,,
